Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
ADANIPORTS,4,792.58,839.75,3359,188.7,5.95,0
ADANITRANS-BE,2,1029.95,1602.6,3205.2,1145.3,55.6,0
ADFFOODS,2,786,994,1988,416,26.46,-0.06
BANKBARODA,100,78,84.5,8450,650,8.33,0
CENTENKA,4,401.08,393.2,1572.8,-31.5,-1.96,0
CIPLA,2,805,967.85,1935.7,325.7,20.23,0
DEEPAKFERT,13,281.66,397.45,5166.85,1505.25,41.11,0
DIXON,12,2529.52,4189.5,50274,19919.75,65.62,0
GOLDBEES,1,44.87,42.63,42.63,-2.24,-4.99,0
HARRMALAYA,30,178.58,218.9,6567,1209.5,22.58,0
HDFCBANK,3,1476.92,1486.35,4459.05,28.3,0.64,0
HIL,2,4546.5,4633.95,9267.9,174.9,1.92,0
ICICIBANK,10,628.64,635.7,6357,70.65,1.12,0
IDEA,30,12.48,9.87,296.1,-78.3,-20.91,0
IDFC,110,47.33,56.7,6237,1030.5,19.79,0
IEX,13,345.23,364.75,4741.75,253.8,5.66,0
INFY,3,1168.7,1446.9,4340.7,834.6,23.8,0
IRCTC,2,1420,2093.75,4187.5,1347.5,47.45,0
ITC,40,177.16,207.95,8318,1231.5,17.38,0
JUBLINGREA,10,470.53,576,5760,1054.66,22.41,-0.05
JUBLPHARMA,16,535.81,772.3,12356.8,3783.84,44.14,0
JUNIORBEES,1,283.55,410.7,410.7,127.15,44.84,-0.09
KALPATPOWR,3,438.87,438,1314,-2.6,-0.2,0
LTI,1,3644.5,4175.2,4175.2,530.7,14.56,0
NIFTYBEES,4,124.04,169.47,677.88,181.71,36.62,0.08
ONMOBILE,80,105.95,120.15,9612,1136,13.4,0.46
POWERGRID,19,229.56,246.3,4679.7,318.15,7.29,0
PTC,40,91.5,98.25,3930,270,7.38,0
ROSSARI,1,1072.9,1240.05,1240.05,167.15,15.58,0
TANLA,10,910,835.6,8356,-744,-8.18,0
TATAPOWER,20,100.08,125.7,2514,512.5,25.61,0
TATASTEEL,3,1121.97,1159.05,3477.15,111.25,3.31,0
TRIDENT,100,16.1,16.7,1670,60,3.73,0
WELSPUNIND,10,86.85,95.75,957.5,89,10.25,0
YESBANK,10,21,14.43,144.3,-65.7,-31.29,0
